Metabolites_labels,Metabolites,S_1_soil_alone,S_2_soil_alone,S_3_soil_alone,S_4_soil_alone,S_5_soil_nanoplatic,S_6_soil_nanoplatic,S_7_soil_nanoplatic,S_8_soil_nanoplatic,S_9_soil_biochar,S_10_soil_biochar,S_11_soil_biochar,S_12_soil_biochar,S_13_soil_biochar_nanoplastic,S_14_soil_biochar_nanoplastic,S_15_soil_biochar_nanoplastic,S_16_soil_biochar_nanoplastic,S_17_soil_Fe-biochar,S_18_soil_Fe-biochar,S_19_soil_Fe-biochar,S_20_soil_Fe-biochar,S_21_soil_Fe-biochar_nanoplastic,S_22_soil_Fe-biochar_nanoplastic,S_23_soil_Fe-biochar_nanoplastic,S_24_soil_Fe-biochar_nanoplastic
3,Adenosine,145410.976544247,175928.971050536,201407.465907122,194792.005551021,31863.0684334473,163267.635691353,126715.318059061,155110.569644751,203180.223867784,156520.469747616,162678.658004826,98114.1000763134,159146.439532274,150462.313970063,155208.390335699,138515.828596272,196532.264051444,127923.093004124,163409.670923399,189592.933197794,178021.667679946,178000.246906625,162317.385207032,244321.196165525
3,AMP,8053.5790228423,800.714891595115,3031.11279510924,4614.70209367309,241.176954828214,1008.31861614298,1445.60584552061,1143.38405148715,2173.23710535163,1770.37719361507,11890.1156239776,195.66765350663,853.640418446383,1042.16215995919,2226.24759294845,722.587780731441,4084.95723499518,961.256391169317,5220.61152179609,2523.79912189123,3301.56624638213,2066.39636206161,8170.91980449509,10399.0888956272
3,CMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Cytidine,80436.9665627232,127737.450693271,153886.233591371,122112.737548394,24890.5963517888,136891.658219432,88510.5246371253,129010.476830708,159158.592583765,115461.100397248,99375.1785733112,69045.0219687245,116331.575289219,108523.084258699,88391.2782777085,105995.241744941,108857.10319955,88205.3123085785,95025.0685357259,149553.112686284,101400.146683241,100182.081595712,76966.5765011265,126999.776016236
3,Cytosine,11.6248362161802,31.9667611349224,9.63740613224266,29.1285769519866,28.9952813146816,58.492526259913,27.1600744532118,16.8198867887962,40.6351797155498,24.4678987599278,19.2382294936009,15.763616494548,25.1762147357506,22.5178212952172,18.4987450283728,23.429713723055,29.0838556544665,20.5461055438043,23.8423331377609,37.0297519013806,21.1443010502253,20.9750661410024,18.258259032188,26.0804203876437
3,Guanine,2164.43196548047,5202.19463296098,4594.4172237803,3013.51129587205,499.590534354465,3271.444877354,2790.01787086289,3683.29886225898,10246.9966467811,2105.06557110041,2357.61046818018,1941.38673488129,3144.51316103979,1671.72393653993,991.936760351564,2261.59925794228,1751.95306366045,1497.60922369186,1161.39826122281,2756.2565710337,1868.90186634265,1946.84422126965,2056.90075622313,5412.28624961014
3,Guanosine,129386.416757058,192267.002844363,229856.681468663,201586.845994668,34444.1455382914,195888.773917545,127681.081568138,182477.693144353,231056.52260581,186814.623880975,174437.517128183,114299.548296614,183338.933349841,173066.719677643,150699.391008036,161957.923207346,196358.520400644,142586.606959491,176417.561425659,211174.476545196,184695.04682983,169336.967474016,158458.416687052,239427.036840732
3,Hypoxanthine,0,0,0,0,3.96394794974361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Inosine,87270.9426082558,104321.459207477,117095.423584421,115689.160415676,21487.1560840176,94133.9898009653,75638.1689910534,91586.2044135815,120724.388193114,95354.5822701936,96353.8440568096,59301.9511328228,95229.1714444701,90591.8811998017,92322.9398700641,83826.3361398058,115647.66068567,77450.5819173771,97128.6363425288,113380.872846727,104882.976331186,106760.288190684,96631.3938384041,140685.093651783
3,Thymidine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
